,Date,Snow,Tmin,Tmax,Tavg,Snow Day
0,2020-01-01,0.0,1.1,5.0,3.4,0
1,2020-01-02,0.0,0.6,9.4,3.6,0
2,2020-01-03,0.0,6.7,9.4,7.9,0
3,2020-01-06,15.0,0.0,7.2,3.4,0
4,2020-01-07,0.0,2.2,7.2,4.0,0
5,2020-01-08,0.0,-2.1,5.6,1.7,0
6,2020-01-09,0.0,-4.9,1.1,-1.5,0
7,2020-01-10,0.0,0.6,12.8,6.3,0
8,2020-01-13,0.0,2.8,7.8,5.2,0
9,2020-01-14,0.0,3.9,7.8,5.0,0
10,2020-01-15,0.0,5.0,10.0,7.5,0
11,2020-01-16,0.0,0.6,9.4,6.5,0
12,2020-01-17,0.0,-6.0,0.6,-2.7,0
13,2020-01-20,0.0,-6.6,-0.5,-3.1,0
14,2020-01-21,0.0,-6.6,0.6,-3.0,0
15,2020-01-22,0.0,-3.8,3.3,-0.8,0
16,2020-01-23,0.0,0.6,8.3,2.2,0
17,2020-01-24,0.0,2.8,10.6,5.3,0
18,2020-01-27,0.0,2.8,7.2,4.9,0
19,2020-01-28,0.0,2.8,6.1,4.1,0
20,2020-01-29,0.0,-0.5,5.0,1.6,0
21,2020-01-30,0.0,-3.8,3.3,-1.2,0
22,2020-01-31,0.0,0.6,6.7,1.9,0
23,2020-02-03,0.0,2.8,13.9,7.1,0
24,2020-02-04,0.0,6.1,16.1,8.8,0
25,2020-02-05,0.0,3.9,12.8,5.0,0
26,2020-02-06,0.0,1.7,5.0,3.7,0
27,2020-02-07,0.0,0.6,13.3,4.2,0
28,2020-02-10,0.0,5.6,8.3,5.9,0
29,2020-02-11,0.0,6.1,8.9,7.2,0
30,2020-02-12,0.0,2.8,7.8,5.1,0
31,2020-02-13,0.0,2.8,6.7,3.7,0
32,2020-02-14,0.0,-7.7,4.4,-1.7,0
33,2020-02-17,0.0,3.3,10.6,5.1,0
34,2020-02-18,0.0,3.3,8.3,4.7,0
35,2020-02-19,0.0,0.0,8.9,5.1,0
36,2020-02-20,0.0,-3.2,1.7,-0.7,0
37,2020-02-21,0.0,-6.6,1.7,-2.9,0
38,2020-02-24,0.0,5.0,16.7,8.2,0
39,2020-02-25,0.0,7.8,11.7,8.7,0
40,2020-02-26,0.0,6.1,8.9,7.7,0
41,2020-02-27,0.0,-0.5,6.1,3.9,0
42,2020-02-28,0.0,-1.6,5.6,0.7,0
43,2020-03-02,0.0,4.4,14.4,7.6,0
44,2020-03-03,0.0,9.4,15.0,11.0,0
45,2020-03-04,0.0,7.2,13.3,9.3,0
46,2020-03-05,0.0,3.9,10.6,6.7,0
47,2020-03-06,0.0,2.8,7.2,4.1,0
48,2020-03-09,0.0,8.3,22.2,12.6,0
49,2020-03-10,0.0,12.2,18.3,14.1,0
