,Date,Snow,Tmin,Tmax,Tavg,Snow Day
0,2021-06-30,0.0,22.8,36.7,30.7,0
1,2021-07-01,0.0,22.2,28.9,24.4,0
2,2021-07-02,0.0,16.7,26.1,22.0,0
3,2021-07-05,0.0,19.4,28.3,23.6,0
4,2021-07-06,0.0,21.7,33.3,26.9,0
5,2021-07-07,0.0,21.7,32.8,27.9,0
6,2021-07-08,0.0,21.7,28.9,25.0,0
7,2021-07-09,0.0,21.1,29.4,24.7,0
8,2021-07-12,0.0,22.2,30.0,24.6,0
9,2021-07-13,0.0,20.6,22.2,21.4,0
10,2021-07-14,0.0,20.6,30.6,24.8,0
11,2021-07-15,0.0,23.3,31.7,27.8,0
12,2021-07-16,0.0,26.1,32.8,28.9,0
13,2021-07-19,0.0,21.7,27.2,24.0,0
14,2021-07-20,0.0,22.8,30.0,25.9,0
15,2021-07-21,0.0,21.1,26.7,24.4,0
16,2021-07-22,0.0,19.4,27.2,22.7,0
17,2021-07-23,0.0,19.4,28.3,22.7,0
18,2021-07-26,0.0,22.2,31.1,26.8,0
19,2021-07-27,0.0,22.8,31.7,26.4,0
20,2021-07-28,0.0,20.6,27.2,23.2,0
21,2021-07-29,0.0,20.6,25.0,22.7,0
22,2021-07-30,0.0,19.4,27.8,23.0,0
23,2021-08-02,0.0,17.2,26.7,21.4,0
24,2021-08-03,0.0,18.3,26.1,21.1,0
25,2021-08-04,0.0,19.4,24.4,21.3,0
26,2021-08-05,0.0,20.6,27.2,23.0,0
27,2021-08-06,0.0,21.1,31.1,25.0,0
28,2021-08-09,0.0,20.6,27.2,23.3,0
29,2021-08-10,0.0,21.7,28.9,24.5,0
30,2021-08-11,0.0,22.8,31.7,26.4,0
31,2021-08-12,0.0,23.3,33.9,27.5,0
32,2021-08-13,0.0,25.6,34.4,29.3,0
33,2021-08-16,0.0,20.6,28.3,23.1,0
34,2021-08-17,0.0,22.8,27.2,24.2,0
35,2021-08-18,0.0,23.3,28.3,25.6,0
36,2021-08-19,0.0,23.9,29.4,26.5,0
37,2021-08-20,0.0,23.9,27.8,25.1,0
38,2021-08-23,0.0,21.7,28.3,24.3,0
39,2021-08-24,0.0,22.2,31.7,26.4,0
40,2021-08-25,0.0,22.2,32.8,26.9,0
41,2021-08-26,0.0,25.6,32.8,28.2,0
42,2021-08-27,0.0,23.9,33.9,27.9,0
43,2021-08-30,0.0,22.8,29.4,25.3,0
44,2021-08-31,0.0,22.8,28.3,24.9,0
45,2021-09-01,0.0,17.2,25.6,20.8,0
46,2021-09-02,0.0,16.1,25.0,19.5,0
47,2021-09-03,0.0,15.0,23.3,19.0,0
48,2021-09-06,0.0,20.6,27.2,22.9,0
49,2021-09-07,0.0,18.3,26.1,21.4,0
50,2021-09-08,0.0,21.1,27.8,23.5,0
51,2021-09-09,0.0,20.0,24.4,21.1,0
52,2021-09-10,0.0,17.2,23.3,19.6,0
53,2021-09-13,0.0,19.4,28.3,25.2,0
54,2021-09-14,0.0,19.4,26.7,22.6,0
55,2021-09-15,0.0,21.7,29.4,25.1,0
56,2021-09-16,0.0,21.7,24.4,22.6,0
57,2021-09-17,0.0,20.6,23.9,21.8,0
58,2021-09-20,0.0,17.2,23.9,18.7,0
59,2021-09-21,0.0,17.2,24.4,20.0,0
60,2021-09-22,0.0,22.2,26.1,24.0,0
61,2021-09-23,0.0,17.8,26.1,24.1,0
62,2021-09-24,0.0,13.9,22.2,17.9,0
63,2021-09-27,0.0,16.7,25.6,19.8,0
64,2021-09-28,0.0,16.1,21.7,19.0,0
65,2021-09-29,0.0,12.2,20.0,15.8,0
66,2021-09-30,0.0,12.8,18.3,15.2,0
67,2021-10-01,0.0,10.6,19.4,13.8,0
68,2021-10-04,0.0,16.7,22.8,19.0,0
69,2021-10-05,0.0,15.6,18.3,16.4,0
70,2021-10-06,0.0,16.1,20.6,17.9,0
71,2021-10-07,0.0,16.7,22.8,19.1,0
72,2021-10-08,0.0,16.1,24.4,19.3,0
73,2021-10-11,0.0,16.1,21.7,18.6,0
74,2021-10-12,0.0,16.1,20.6,17.6,0
75,2021-10-13,0.0,16.1,20.6,18.4,0
76,2021-10-14,0.0,16.7,24.4,20.2,0
77,2021-10-15,0.0,17.2,26.1,20.7,0
78,2021-10-18,0.0,9.4,14.4,10.8,0
79,2021-10-19,0.0,8.3,18.9,12.5,0
80,2021-10-20,0.0,13.3,23.9,18.7,0
81,2021-10-21,0.0,15.0,22.8,18.3,0
82,2021-10-22,0.0,13.9,20.6,17.3,0
83,2021-10-25,0.0,12.8,22.8,17.7,0
84,2021-10-26,0.0,12.2,17.2,14.5,0
85,2021-10-27,0.0,11.7,16.1,14.2,0
86,2021-10-28,0.0,9.4,13.9,11.6,0
87,2021-10-29,0.0,8.3,13.3,10.8,0
88,2021-11-01,0.0,10.0,14.4,12.1,0
89,2021-11-02,0.0,6.7,11.7,9.3,0
90,2021-11-03,0.0,5.0,10.6,6.4,0
91,2021-11-04,0.0,3.9,10.0,5.8,0
92,2021-11-05,0.0,3.9,10.6,5.4,0
93,2021-11-08,0.0,6.7,17.2,10.7,0
94,2021-11-09,0.0,10.0,20.0,12.6,0
95,2021-11-10,0.0,9.4,17.8,13.2,0
96,2021-11-11,0.0,7.2,16.1,10.3,0
97,2021-11-12,0.0,10.6,18.3,15.7,0
98,2021-11-15,0.0,3.9,8.3,5.2,0
99,2021-11-16,0.0,2.2,9.4,5.3,0
100,2021-11-17,0.0,3.3,13.9,7.3,0
101,2021-11-18,0.0,7.8,20.6,12.6,0
102,2021-11-19,0.0,3.9,8.9,6.1,0
103,2021-11-22,0.0,1.7,12.8,7.6,0
104,2021-11-23,0.0,0.0,5.6,1.7,0
105,2021-11-24,0.0,-1.0,7.2,2.6,0
106,2021-11-25,0.0,3.9,13.3,6.5,0
107,2021-11-26,0.0,2.8,8.3,5.4,0
108,2021-11-29,0.0,0.6,7.2,2.5,0
109,2021-11-30,0.0,-0.5,5.0,1.0,0
110,2021-12-01,0.0,4.4,9.4,5.9,0
111,2021-12-02,0.0,7.2,14.4,10.5,0
112,2021-12-03,0.0,2.8,8.9,5.7,0
113,2021-12-06,0.0,6.1,16.1,10.8,0
114,2021-12-07,0.0,2.2,6.1,3.2,0
115,2021-12-08,0.0,1.1,5.6,2.5,0
116,2021-12-09,0.0,-0.5,3.9,1.3,0
117,2021-12-10,0.0,3.3,10.0,5.9,0
118,2021-12-13,0.0,4.4,11.7,6.2,0
119,2021-12-14,0.0,6.7,11.7,6.8,0
120,2021-12-15,0.0,4.4,13.9,6.5,0
121,2021-12-16,0.0,12.2,16.7,13.2,0
122,2021-12-17,0.0,8.9,15.6,11.8,0
123,2021-12-20,0.0,-3.8,2.8,-1.6,0
124,2021-12-21,0.0,-0.5,6.1,0.8,0
125,2021-12-22,0.0,0.6,8.3,4.0,0
126,2021-12-23,0.0,-0.5,2.2,0.0,0
127,2021-12-24,0.0,-1.0,4.4,1.0,0
128,2021-12-27,0.0,1.1,3.9,1.4,0
129,2021-12-28,0.0,2.2,8.3,4.8,0
130,2021-12-29,0.0,5.0,6.7,5.4,0
131,2021-12-30,0.0,6.1,9.4,7.0,0
132,2021-12-31,0.0,8.9,12.8,9.3,0
