,Date,Snow,Tmin,Tmax,Tavg
0,2022-01-01,0.0,10.0,13.3,11.0
1,2022-01-02,0.0,2.8,15.0,9.9
2,2022-01-03,0.0,-5.5,2.8,-1.9
3,2022-01-04,0.0,-7.1,1.1,-3.7
4,2022-01-05,0.0,-0.5,8.3,1.5
5,2022-01-06,0.0,1.1,5.0,1.5
6,2022-01-07,155.0,-3.8,1.1,-1.8
7,2022-01-08,0.0,-6.6,-1.0,-4.5
8,2022-01-09,0.0,-1.6,4.4,0.3
9,2022-01-10,0.0,-4.3,4.4,-1.5
10,2022-01-11,0.0,-9.3,-4.3,-8.2
11,2022-01-12,0.0,-6.6,4.4,-2.8
12,2022-01-13,0.0,1.1,8.9,2.2
13,2022-01-14,0.0,-6.0,6.1,2.2
14,2022-01-15,0.0,-12.1,-6.0,-9.5
15,2022-01-16,0.0,-12.1,2.8,-7.5
16,2022-01-17,25.0,1.1,6.7,3.0
17,2022-01-18,0.0,-1.6,2.2,-0.2
18,2022-01-19,0.0,-2.1,9.4,2.2
19,2022-01-20,0.0,-5.5,7.8,0.8
20,2022-01-21,13.0,-9.9,-5.5,-8.4
21,2022-01-22,0.0,-10.5,-1.6,-6.7
22,2022-01-23,0.0,-4.3,2.8,-2.3
23,2022-01-24,5.0,-3.2,2.2,-1.3
24,2022-01-25,0.0,-2.1,5.6,1.5
25,2022-01-26,0.0,-6.6,-2.1,-5.0
26,2022-01-27,0.0,-8.2,0.0,-5.0
27,2022-01-28,0.0,-1.6,0.0,-1.2
28,2022-01-29,114.0,-11.0,-1.6,-7.6
29,2022-01-30,51.0,-11.0,-3.2,-7.9
30,2022-01-31,0.0,-6.0,-0.5,-5.5
31,2022-02-01,0.0,-4.9,2.2,-2.9
32,2022-02-02,0.0,0.0,8.3,2.7
33,2022-02-03,0.0,5.6,11.1,5.4
34,2022-02-04,0.0,-3.2,13.9,2.5
35,2022-02-05,0.0,-7.1,-2.7,-4.9
36,2022-02-06,0.0,-8.2,-1.0,-5.3
37,2022-02-07,0.0,-1.0,2.8,0.0
38,2022-02-08,0.0,0.0,7.2,2.4
39,2022-02-09,0.0,-1.6,7.8,1.4
40,2022-02-10,0.0,2.8,12.2,4.9
41,2022-02-11,0.0,3.3,13.9,6.6
42,2022-02-12,0.0,5.6,15.0,9.6
43,2022-02-13,51.0,-3.8,5.6,-0.7
44,2022-02-14,13.0,-8.8,-3.8,-6.6
45,2022-02-15,0.0,-8.8,-1.0,-5.4
46,2022-02-16,0.0,-2.1,9.4,0.6
47,2022-02-17,0.0,9.4,20.0,12.8
48,2022-02-18,0.0,-2.7,17.2,6.7
49,2022-02-19,0.0,-4.9,4.4,-2.0
50,2022-02-20,0.0,-6.0,2.2,-2.6
51,2022-02-21,0.0,0.0,12.8,3.5
52,2022-02-22,0.0,2.8,16.1,7.7
53,2022-02-23,0.0,1.7,20.0,13.1
54,2022-02-24,0.0,-1.6,1.7,-0.7
55,2022-02-25,13.0,-3.2,5.0,0.0
56,2022-02-26,0.0,-4.3,2.8,-1.7
57,2022-02-27,0.0,-2.1,8.9,2.0
58,2022-02-28,0.0,-3.2,2.2,-0.8
59,2022-03-01,0.0,-0.5,8.9,3.0
60,2022-03-02,0.0,4.4,11.1,6.5
61,2022-03-03,0.0,-4.3,8.9,2.8
62,2022-03-04,0.0,-6.0,2.8,-2.3
63,2022-03-05,0.0,0.0,7.8,2.1
64,2022-03-06,0.0,6.1,20.0,12.0
65,2022-03-07,0.0,10.0,23.3,18.3
66,2022-03-08,0.0,3.9,10.0,5.6
67,2022-03-09,0.0,0.6,5.0,2.1
68,2022-03-10,10.0,0.6,10.6,3.4
69,2022-03-11,0.0,4.4,12.8,5.9
70,2022-03-12,0.0,-4.3,8.9,1.5
71,2022-03-13,25.0,-5.5,1.7,-2.8
72,2022-03-14,0.0,0.6,13.3,5.9
73,2022-03-15,0.0,7.8,20.0,11.2
74,2022-03-16,0.0,8.9,19.4,12.7
75,2022-03-17,0.0,7.2,11.7,9.5
76,2022-03-18,0.0,10.0,23.3,14.1
77,2022-03-19,0.0,9.4,21.1,14.7
78,2022-03-20,0.0,7.8,16.1,12.1
79,2022-03-21,0.0,6.7,16.7,10.7
80,2022-03-22,0.0,6.1,14.4,9.9
81,2022-03-23,0.0,3.3,9.4,5.7
82,2022-03-24,0.0,3.3,8.3,5.7
83,2022-03-25,0.0,6.7,15.6,9.8
84,2022-03-26,0.0,5.6,11.7,9.0
85,2022-03-27,0.0,-2.1,7.8,3.8
86,2022-03-28,0.0,-4.9,0.6,-3.3
87,2022-03-29,0.0,-4.3,3.3,-1.2
88,2022-03-30,0.0,-1.6,8.3,2.3
89,2022-03-31,0.0,7.2,18.9,12.8
90,2022-04-01,0.0,6.1,16.1,11.1
91,2022-04-02,0.0,3.3,12.2,6.8
92,2022-04-03,0.0,4.4,8.9,6.2
93,2022-04-04,0.0,3.9,12.2,7.4
94,2022-04-05,0.0,7.2,13.9,8.5
95,2022-04-06,0.0,6.7,11.7,9.1
96,2022-04-07,0.0,7.2,12.2,9.1
97,2022-04-08,0.0,9.4,18.3,12.4
98,2022-04-09,0.0,8.3,12.8,9.9
99,2022-04-10,0.0,5.6,10.0,7.4
100,2022-04-11,0.0,4.4,16.1,9.0
101,2022-04-12,0.0,10.0,22.2,14.6
102,2022-04-13,0.0,12.8,21.7,16.0
103,2022-04-14,0.0,13.9,26.1,20.3
104,2022-04-15,0.0,11.1,21.1,15.1
105,2022-04-16,0.0,6.7,22.8,14.5
106,2022-04-17,0.0,5.0,10.6,6.9
107,2022-04-18,0.0,3.9,12.2,6.2
108,2022-04-19,0.0,3.9,10.0,6.7
