,Date,Snow,Tmin,Tmax,Tavg,Snow Day
0,1/1/2022,0,10,13.3,11,0
1,1/2/2022,0,2.8,15,9.9,0
2,1/3/2022,0,-5.5,2.8,-1.9,0
3,1/4/2022,0,-7.1,1.1,-3.7,0
4,1/5/2022,0,-0.5,8.3,1.5,0
5,1/6/2022,0,1.1,5,1.5,0
6,1/7/2022,155,-3.8,1.1,-1.8,1
7,1/8/2022,0,-6.6,-1,-4.5,0
8,1/9/2022,0,-1.6,4.4,0.3,0
9,1/10/2022,0,-4.3,4.4,-1.5,0
10,1/11/2022,0,-9.3,-4.3,-8.2,0
11,1/12/2022,0,-6.6,4.4,-2.8,0
12,1/13/2022,0,1.1,8.9,2.2,0
13,1/14/2022,0,-6,6.1,2.2,0
14,1/15/2022,0,-12.1,-6,-9.5,0
15,1/16/2022,0,-12.1,2.8,-7.5,0
16,1/17/2022,25,1.1,6.7,3,0
17,1/18/2022,0,-1.6,2.2,-0.2,0
18,1/19/2022,0,-2.1,9.4,2.2,0
19,1/20/2022,0,-5.5,7.8,0.8,0
20,1/21/2022,13,-9.9,-5.5,-8.4,2
21,1/22/2022,0,-10.5,-1.6,-6.7,0
22,1/23/2022,0,-4.3,2.8,-2.3,0
23,1/24/2022,5,-3.2,2.2,-1.3,0
24,1/25/2022,0,-2.1,5.6,1.5,0
25,1/26/2022,0,-6.6,-2.1,-5,0
26,1/27/2022,0,-8.2,0,-5,0
27,1/28/2022,0,-1.6,0,-1.2,0
28,1/29/2022,114,-11,-1.6,-7.6,1
29,1/30/2022,51,-11,-3.2,-7.9,0
30,1/31/2022,0,-6,-0.5,-5.5,0
31,2/1/2022,0,-4.9,2.2,-2.9,0
32,2/2/2022,0,0,8.3,2.7,0
33,2/3/2022,0,5.6,11.1,5.4,0
34,2/4/2022,0,-3.2,13.9,2.5,0
35,2/5/2022,0,-7.1,-2.7,-4.9,0
36,2/6/2022,0,-8.2,-1,-5.3,0
37,2/7/2022,0,-1,2.8,0,0
38,2/8/2022,0,0,7.2,2.4,0
39,2/9/2022,0,-1.6,7.8,1.4,0
40,2/10/2022,0,2.8,12.2,4.9,0
41,2/11/2022,0,3.3,13.9,6.6,0
42,2/12/2022,0,5.6,15,9.6,0
43,2/13/2022,51,-3.8,5.6,-0.7,2
44,2/14/2022,13,-8.8,-3.8,-6.6,0
45,2/15/2022,0,-8.8,-1,-5.4,0
46,2/16/2022,0,-2.1,9.4,0.6,0
47,2/17/2022,0,9.4,20,12.8,0
48,2/18/2022,0,-2.7,17.2,6.7,0
49,2/19/2022,0,-4.9,4.4,-2,0
50,2/20/2022,0,-6,2.2,-2.6,0
51,2/21/2022,0,0,12.8,3.5,0
52,2/22/2022,0,2.8,16.1,7.7,0
53,2/23/2022,0,1.7,20,13.1,0
54,2/24/2022,0,-1.6,1.7,-0.7,0
55,2/25/2022,13,-3.2,5,0,2
56,2/26/2022,0,-4.3,2.8,-1.7,0
57,2/27/2022,0,-2.1,8.9,2,0
58,2/28/2022,0,-3.2,2.2,-0.8,0
59,3/1/2022,0,-0.5,8.9,3,0
60,3/2/2022,0,4.4,11.1,6.5,0
61,3/3/2022,0,-4.3,8.9,2.8,0
62,3/4/2022,0,-6,2.8,-2.3,0
63,3/5/2022,0,0,7.8,2.1,0
64,3/6/2022,0,6.1,20,12,0
65,3/7/2022,0,10,23.3,18.3,0
66,3/8/2022,0,3.9,10,5.6,0
67,3/9/2022,0,0.6,5,2.1,0
68,3/10/2022,10,0.6,10.6,3.4,0
69,3/11/2022,0,4.4,12.8,5.9,0
70,3/12/2022,0,-4.3,8.9,1.5,0
71,3/13/2022,25,-5.5,1.7,-2.8,0
72,3/14/2022,0,0.6,13.3,5.9,0
73,3/15/2022,0,7.8,20,11.2,0
74,3/16/2022,0,8.9,19.4,12.7,0
75,3/17/2022,0,7.2,11.7,9.5,0
76,3/18/2022,0,10,23.3,14.1,0
77,3/19/2022,0,9.4,21.1,14.7,0
78,3/20/2022,0,7.8,16.1,12.1,0
